Claim,Evidence,label
We should increase internet censorship,The constitutional and other legal protections that prohibit or limit government censorship of the Internet in some countries do not generally apply to private corporations.,0
We should legalize organ trade,"The U.S. government's most recent 2009 National Survey on Drug Use and Health (NSDUH) reported that nationwide over 800,000 adolescents ages 12-17 sold illegal drugs during the previous 12 months preceding the survey [REF].",0
Tattoos should be banned,"On December 22, 2010, it was reported that Terrelle Pryor, Dan Herron, DeVier Posey, Mike Adams, and Solomon Thomas had traded autographs for tattoos, a violation of NCAA rules.",0
We should ban boxing,Intentionally going down in modern boxing will cause the recovering fighter to lose points in the scoring system.,0
We should disband the United Nations,Secretary general of the UN Ban Ki-moon demanded that the UN have access to Daraa [REF].,0
Suicide should be a criminal offence,Suicide attempts are up to 20 times more frequent than completed suicides [REF].,0
We should ban male infant circumcision,"Paul, who was vocally supported by Peter, argued that circumcision was not a necessary practice [REF].",1
We should close the Guantanamo Bay detention camp,"In the summer of 2004 the United States Supreme Court ruled on the habeas corpus submission Rasul v. Bush, determining that the court had jurisdiction over Guantanamo, and that detainees had a right to an impartial tribunal to challenge their detention under habeas corpus.",0
We should abolish the three-strikes laws,"Tallman described Reyes as ""a career criminal"" who had been convicted of committing six crimes in a 16-year period, including battery, armed robbery, being under the influence of a controlled substance and driving while under the influence, and who had spent six years in prison for various offenses prior to his sentencing under the three strikes law [REF].",0
We should disband the United Nations,"Finally, Resolution 819 demanded that all parties ensure the safety of the Protection Force, United Nations personnel and other international organisations, allowing for the safe transfer of injured civilians from Srebrenica and its surrounding areas, and announced its decision to send a mission of members of the Security Council to assess the situation in Bosnia and Herzegovina.",0
We should end affirmative action,"In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .",1
We should ban lotteries,More general models based on utility functions defined on things other than the lottery outcomes can also account for lottery purchase.,0
We should subsidize investigative journalism,"The Justice Department investigation led to revelations about the ""Arkansas Project,"" a campaign by businessman Richard Mellon Scaife to discredit the Clintons by funding investigative reporting at several conservative media outlets.",0
We should subsidize renewable energy,"The report states that ""electricity transport proves to be one of the keys to an economical electricity supply"" and underscores the importance of ""international co-operation in the field of renewable energy use [and] transmission.""",1
We should legalize prostitution,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].",1
We should abandon feminism,"In A Cyborg Manifesto, Donna Haraway criticizes traditional notions of feminism, particularly its emphasis on identity, rather than affinity.",0
We should fight global warming,"Previous notable speakers have included: Professor Terrell Carver, Director of the Global Media Research Center Professor John Downing, scientist and global warming activist Dr. Tim Flannery, Wall Street Journal editor Robert Thomson and Senator Judith Troeth [REF].",0
We should legalize organ trade,"These unethical practices were the subject of a Summit convened in Istanbul from 30 April to 1 May 2008 by The Transplantation Society (TTS)[REF] and the International Society of Nephrology (ISN) [REF]. The result of these deliberations was the Istanbul Declaration on Organ Trafficking and Transplant Tourism . The development of the Istanbul Summit and Declaration was derived from a direction by the World Health Assembly in 2004 as it adopted resolution WHA57.18 urging member states 'to take measures to protect the poorest and vulnerable groups from transplant tourism and the sale of tissues and organs, including attention to the wider problem of international trafficking in human tissues and organs' [REF].  The Declaration emphasizes that organ trafficking and transplant tourism should be prohibited because they violate the principles of equity, justice and respect for human dignity. The Declaration asserts that because transplant commercialism targets impoverished and otherwise vulnerable donors, it leads inexorably to inequity and injustice and should also be prohibited",1
We should increase immigration to the United States,"Each year, around 50,000 immigrant visas are made available through the Diversity Visa (DV) program, also known as the Green Card Lottery to people who were born in countries with low rates of immigration to the United States (fewer than 50,000 immigrants in the past five years).",0
We should ban trans fats usage in food,Plaintiffs' complaint cites current scientific evidence that trans fat causes coronary heart disease[REF] and is associated with a higher risk of diabetes[REF] and some forms of cancer [REF].,1
We should abolish the two-party system,"The two parties ""penetrated and came to dominate so many of the other organisations in civil society, including trade unions, that they enjoyed a virtual monopoly over the political process.""[REF]",0
We should ban private education,"Dick Ekdahl, the executive director of the Independent Schools Association of the Southwest (ISAS), said that a more robust economy, a negative perception of public schools, and increased interest in religious education caused enrollment at private schools to increase.",0
We should abolish temporary employment,All participants in the technological employment debates agree that temporary job losses can result from technological innovation.,0
We should adopt multiculturalism,"People debate the success of their multicultural society, and whether they need to better assimilate newcomers.",0
We should ban alcoholic beverages,"If alcohol consumption continues, vitamin supplementation alone is not enough to improve the symptoms of most individuals [REF].",1
We should ban alcoholic beverages,A study found that intrauterine exposure to alcohol doubled the risk for childhood ANLL [REF,1
We should further exploit unconventional oil,"Shale oil is an unconventional oil produced from oil shale rock fragments by pyrolysis, hydrogenation, or thermal dissolution. These processes convert the organic matter within the rock (kerogen) into synthetic oil and gas.",0
We should abolish standardized tests,"Critics also charge that standardized tests encourage ""teaching to the test"" at the expense of creativity and in-depth coverage of subjects not on the test.",1
We should cancel the Social Security tax,"Total FICA tax contributed by employer = $3,060 (7.65% of income) ",0
Suicide should be a criminal offence,"Brenner found that for every 10% increase in the number of unemployed there is an increase of 1.2% in total mortality, a 1.7% increase in cardiovascular disease, 1.3% more cirrhosis cases, 1.7% more suicides, 4.0% more arrests, and 0.8% more assaults reported to the police [REF].",0
Boarding schools should be abolished,"Fahan School is a member of the Junior School Heads Association of Australia (JSHAA),[REF] the Association of Heads of Independent Schools of Australia (AHISA),[REF] the Australian Boarding Schools' Association (ABSA),[REF] and the Association of Independent Schools' of Tasmania (AIST) [REF].",0
Tattoos should be banned,"""Once you've started, you can't stop; you are always looking for what the next tattoo project can be.""[REF]",0
Suicide should be a criminal offence,"Family members disputed police characterizations of Zahau as depressed, describing her instead that as a happy person. Furthermore, they state that Zahau believed as a Christian that suicide was wrong [REF]. After the suicide ruling, Neil Nalepa was quoted as stating, ""I would not believe Rebecca would commit suicide.",1
We should prohibit reality television,Many Miss USA and Miss Teen USA delegates have participated in reality television shows and other television game shows.,0
We should increase international volunteering,AiP organizes a series of hands-on building conservation workshops and volunteer vacations.,0
We should subsidize higher education,"The proliferation of institutions and the corresponding competition each biennium for legislative appropriations, coupled with a considerable amount of political activity concerning institutional operations, led to calls for a coordinated state system of public higher education.",0
We should legalize doping in sport,"After her death, a 120-page report was filed where Dressel's death has been officially deemed ""due to unknown reasons"",[REF] but German doping analyst Werner Franke said: The fatal incident that killed Birgit Dressel was undoubtedly triggered by anabolic doping [",1
We should protect whistleblowers,"In May 2011, Simard introduced a private member's bill to protect whistleblowers in the Quebec civil service [REF].",1
We should end affirmative action,"Obama writes in his most recent book, The Audacity of Hope: ""Affirmative action programs, when properly structured, can open up opportunities otherwise closed to qualified minorities without diminishing opportunities for white students.""[REF]",1
We should increase internet censorship,Internet freedom proponents used these developments as justification for government-mandated network neutrality.,0
Single-sex schools should be banned,"Single-sex education in many cultures is advocated on the basis of tradition as well as religion, and is practiced in many parts of the world.",1
We should end athletic scholarships,"Also in 1951, professor Robert Gooch wrote the ""Gooch Report"", which requested that UVA abolish its football program and discontinue giving athletic scholarships. While President Darden was opposed to entirely abolishing the football program or athletic scholarships, he did diminish the number of athletic scholarships given by 80%.",0
We should adopt socialism,Democratic socialists and social democrats reject the idea that socialism can be accomplished only through class conflict and a proletarian revolution.,0
We should abolish the monarchy,Johann Hari has written a book God Save the Queen? in which he argues that every member of the royal family has suffered psychologically from the system of monarchy [REF,1
We should ban gambling,"After the trial, Edwards' support for the legalization of gambling as a solution to the state's severe revenue shortages contributed to a further decline in his popularity.",0
Surrogacy should be banned,"In 2006, Australian senator Stephen Conroy and his wife Paula Benson announced that they had arranged for a child to be born through egg donation and gestational surrogacy. Unusually, Conroy was put on the birth certificate as the father of the child.",0
We should adopt a zero-tolerance policy in schools,"The report on Turkey of 14 October 2009 stated   Overall, while the Turkish legal framework includes a comprehensive set of safeguards against torture and ill-treatment, efforts to implement it and fully apply the government's zero tolerance policy have been limited.",0
We should abandon democracy,"The Second Subcommittee, which included all the Arab and Muslim States members, issued a long report arguing that partition was illegal according to the terms of the Mandate and proposing a unitary democratic state that would protect rights of all citizens equally [REF].",0
We should limit the use of birth control,"REF]. According to a study done by Nwachukwu and Obasi in Nigeria in 2008, modern birth control methods were used by 30% of respondents.",0
Sex education should be mandatory,"Sex education, he argues, is a form of propaganda against Christian sexual morality.",1
Holocaust denial should be a criminal offence,"What better way, in short, to make the world safe again for anti-Semitism than by denying the Holocaust?[REF] .",0
We should end progressive taxation,South Africa has a progressive income taxation system which is based on the premise that the wealthy should contribute a greater proportion towards supporting the State than the poor.,1
We should increase fuel tax,"Under the general fuel tax, electricity is not taxed, though fuels used to produce electricity are taxable.",0
We should adopt a zero-tolerance policy in schools,"The city has issued a zero tolerance policy, and has been enacting $2,000 minimum fines for any alcohol-related offence [REF].",1
Hunting should be banned,"Some hunters prefer roundnose ammunition for hunting in brush because they erroneously believe that such a bullet deflects less than sharp-nosed spitzer bullets, regardless of the fact that this belief has been repeatedly proven not to be true.",0
We should lower the drinking age,"The Amethyst Initiative, a collaboration of college presidents and other educators, focuses on discussion and examination of the drinking age, with specific attention paid to the culture of alcohol as it exists on college campuses and the negative impact of the drinking age on alcohol education and responsible drinking.",0
We should abolish homework,"Almost 90 percent of teens have viewed pornography online at one of the 300,000 adult websites, most while doing homework.""[REF]",0
We should further exploit hydroelectric dams,"Grafton surgeon Earle Page, later a caretaker Prime Minister, was a major boardroom influence on The Examiner as it continued to champion the New England New State proposal, a hydro-electric scheme on the Nymboida River, and a deep-sea port plan for Iluka.",0
We should prohibit reality television,"In 2005 Tanya began to host her own show called The House of Tiny Tearaways, a reality TV style show that brings three families experiencing problems into a large, purpose-built house where they are monitored and aided for a week.",0
The use of AI should be abandoned,Applications of automatic memoization have also been formally explored in the study of term rewriting[REF] and artificial intelligence [REF].,0
We should ban beauty contests,"After the pageant, Perez Hilton published derogatory comments about Prejean on his blog, and told ABC news ""She lost [the crown] because of that question. She was definitely the front-runner before that.""",0
Physical education should be mandatory,"In 2000 the CDC estimated that more than 40% of the US population was sedentary, another 30% was active but not sufficiently and less than 30% had an adequate level of physical activity [REF",1
We should cancel the Affordable Care Act,"The Patient Protection and Affordable Care Act (PPACA),[REF] commonly called Obamacare[REF] or the Affordable Care Act (ACA), is a United States federal statute signed into law by President Barack Obama on March 23, 2010.",0
The vow of celibacy should be abandoned,"The forerunner of the CČSH was the Jednota (Union of the Catholic Czechoslovak Clergy), which was founded in 1890 to promote modernist reforms in the Roman Catholic Church, such as use of the vernacular in the liturgy and the adoption of voluntary rather than compulsory clerical celibacy.",0
We should ban cosmetic surgery,"The ""ethnic nose"" The open rhinoplasty approach affords the plastic surgeon the advantages of ease in securing the grafts (skin, cartilage, bone) and, most important, in seeing the nasal cartilages proper, and so make the appropriate diagnosis.",0
We should limit the right of self-defense,"In 1967, then-Secretary of Defense Robert McNamara stated: ""Let me emphasize-and I cannot do so too strongly-that our decision to go ahead with a limited ABM deployment in no way indicates that we feel an agreement with the Soviet Union on the limitation of strategic nuclear offensive and defensive forces is in any way less urgent or desirable.""[REF] .",0
We should limit the use of birth control,"""Others advocate birth-control, with a view of preserving the health of women and conserving family property; but we advocate it for the liberation of women.""[REF] .",0
Hunting should be banned,"Satellite tracking and surveys conducted in western Saudi Arabia during 2009-2010, with key cooperation of the Saudi Wildlife Authority, suggested that a combination of hunting and electrocution were causing a high mortality of dispersing immature ibises.",0
We should disband NATO,"NATO chief Anders Fogh Rasmussen said that the church's plans would violate NATO's ""values"" and may have a negative impact on the security of its soldiers [REF].",0
We should ban gambling,"As Leanne Robinson notes, although Gillott ""freely acknowledged his role as Caroline's mortgagee, he claimed ignorance as to the nature of [her] business - despite the fact that, as a parliamentarian, he'd been instrumental in framing legislation against gambling and licensing and had chaired public meetings on the suppression of vice.""",0
We should ban the use of child actors,".   Norman Myers Chaney (October 18, 1914 - May 29, 1936) was an American child actor, notable for appearing in 19 Our Gang comedies as ""Chubby"" from 1929 to 1931 [REF].",0
We should introduce recall elections,"Because the names of voters who had participated in the request of the 2004 recall referendum against Chávez had been made public via the Tascón List and, according to opposition leaders, those voters were later targeted for discrimination or lost jobs, the MUD had guaranteed voter secrecy [REF].",0
We should increase immigration to the United States,"According to the Society's website, it was established ""to promote the study of the Swiss in America, of Swiss-American relations, of Swiss immigration to the United States, and of American interest in Swiss history and culture.""[REF]",0
We should abandon feminism,"Eventually the conclusion was reached that feminism, as an ideology, could not liberate women from their situation as a social group oppressed by and in class society.",0
We should abolish the Olympic Games,The Pro-Beijing party Democratic Alliance for the Betterment of Hong Kong member Tam Yiu Chung responded that the Olympics was not a good reason for changing what the central government used to do.,0
We should end international aid,"Wild animals, including apes, do so in the form of ingested detoxifying clays,[REF] rough leaves that clear gut parasites,[REF] and pharmacologically active plants[REF][REF] Complementary to this, research finds that animals have the ability to select and prefer substances that aid their recuperation from illness [REF].",0
We should prohibit reality television,"A review called the show ""reality TV at its reel frightening best.""[REF]",0
We should ban herbal medicine,"In March 2009, Dieter Müller et al. published a study of sibutramine poisoning cases from similar Chinese ""herbal supplements"" sold in Europe, containing as much as twice the dosage of the legally licensed drug [REF].",0
We should legalize polygamy,"In modern times a minority of Roman Catholic theologians have argued that polygamy, though not ideal, can be a legitimate form of Christian marriage in certain regions, in particular Africa [REF].",1
We should disband Amnesty International,"According to Amnesty International, in July 2010, the Iranian parliament began considering a revision to its penal code that would ban stoning as a punishment [REF].",0
We should abolish electronic voting,"On January 22, 2002, Diebold announced the acquisition of GES, then a manufacturer and supplier of electronic voting terminals and solutions.",0
We should adopt mobile payments,"Mobile payment (also referred to as mobile money, mobile money transfer, and mobile wallet) generally refer to payment services operated under financial regulation and performed from or via a mobile device.",0
We should ban whaling,"Applying lessons learned from the September action, this time the Marines prepared a carefully coordinated plan of action involving five battalions: two from the 5th Marine Regiment, two from the 7th Marine Regiment, and one from the 2nd Marine Regiment augmented with Marine scout and sniper personnel (called the Whaling Group after its commander Colonel William J. Whaling).",0
We should abolish the US Electoral College,"In the same interview, he accused her of running as a political carpetbagger, and said that she intends to abolish the Electoral College in favor of the popular vote, claiming that it would be done only to give her an advantage in the presidential race [REF].",0
We should legalize same sex marriage,"A July 2011 Public Policy Polling survey found that 81% of New Jersey voters supported legal recognition of same-sex couples, with 41% supporting same-sex marriage and 40% supporting civil unions, while only 17% opposed all legal recognition and 2% were not sure [REF].",1
We should disband ASEAN,Japan expressed its intention to promote co-operation with ASEAN [REF].,0
We should end cheerleading,"Additionally, the athletic program supports cheerleading, a dance team and pep band, which perform at home football and basketball games ",0
We should subsidize public transportation,"Replying to these suggestions, the Council noted that whilst ""reinstatement of public transport services along Worth Way was the most common suggestion made"", the only means of transport it would consider along that corridor would be a relief road.",1
We should abandon the insanity plea,"Guiteau was found guilty of assassinating Garfield, despite his lawyers raising an insanity defense.",0
We should abandon television,The vacuum-tube electronics used in televisions through the 1960s led to various technical problems.,0
We should ban the sale of violent video games to minors,"Ultimately, the conclusion reached in Grand Theft Childhood was that ""focusing on such easy but minor targets as violent video games causes parents, social activists and public-policy makers to ignore the much more powerful and significant causes of youth violence that have already been well established, including a range of [non-gender-linked] social, behavioral, economic, biological and mental-health factors.""[REF]",1
We should ban algorithmic trading,"Futures markets are considered fairly easy to integrate into algorithmic trading,[REF] with about 20% of options volume expected to be computer-generated by 2010.[REF]",0
We should abandon democracy,""" Courting Genocide: Populism and the Informalization of Violence in Kenya's 2008 Crisis,"" in Kenya's Uncertain Democracy: The Electoral Crisis of 2008 Crisis, London: Routledge.",0
We should ban fishing,Fishing can cause several negative physiological and psychological effects for fish populations including: increased stress levels and bodily injuries resulting from lodged fish hooks [REF].,1
We should ban alternative medicine,"In 2001 the lead author of that study, Edzard Ernst, published a primer on complementary therapies in cancer care in which he explained that though ""about half of these trials suggested that healing is effective"" he cautioned that the evidence was ""highly conflicting"" and that ""methodological shortcomings prevented firm conclusions.""",0
We should prohibit tower blocks,"There are some strong symbolic links to these times in the shape of the Sentinel sculpture, a stained glass church window, and the names of tower blocks and streets on the estate.",0
Big governments should be abandoned,"Although some questioned her lack of elected office experience and limited knowledge of foreign affairs, Luksik said she planned to be an advocate against big government and excessive spending.",0
We should legalize ivory trade,"The ivory trade greatly increased the slave trade, although it had long been important in intra- and inter-regional trade.",1
Casinos should be banned,Total Rewards (Europe/North Africa: Player Rewards[REF] and South Africa: Emerald Rewards[REF]) is a casino loyalty program at nearly all Caesars Entertainment (formerly Harrah's Entertainment) locations.,0
We should legalize doping in sport,Professor Donald A. Berry has argued that the closed systems used by anti-doping agencies do not allow statistical validation of the tests [REF].,0
We should ban private education,Others claim that the private systems could prevent a significant portion of Portugal's population from being able to attend these schools that is also unfair.,1
Single-sex schools should be banned,"AHIGS first admitted male heads of girls' schools to membership from 1973 however, so far no male member has been elected to the position of President [REF].",0
Suicide should be a criminal offence,Studies have shown that early substance abuse can lead to higher homicide and suicide rates among a population group.,0
We should further exploit green technology,"The growing ethanol and biodiesel industries are providing jobs in plant construction, operations, and maintenance, mostly in rural communities. According to the Renewable Fuels Association, ""the ethanol industry created almost 154,000 U.S. jobs in 2005 alone, boosting household income by $5.7 billion. It also contributed about $3.5 billion in tax revenues at the local, state, and federal levels"" [RE",1
We should adopt mobile payments,"Moreover, during the summer of 2010 SmsCoin has connected 9 additional countries: Italy, Vietnam, Guatemala, Honduras, Dominican Republic, El Salvador, Nicaragua, Panama, Paraguay, Thailand, and by achieving that finally establishing itself a unique key leader within the mobile payments market.",0
We should subsidize the human mission to Mars,"Since the mid-2000s, China, Russia and Europe have been working together towards manned deep space exploration as highlighted by Mars-500, a joint Chinese-European-Russian experiment that will provide ground-based studies to complement orbital research in preparation for a planned manned mission to Mars.",0
We should ban alcoholic beverages,"The study, published in the Canadian Medical Association Journal in 2006, found that serving chronic street alcoholics controlled doses of alcohol also reduced their overall alcohol consumption.",0
We should protect endangered species,"Citing these threats, the International Union for Conservation of Nature (IUCN) has assessed this species as Endangered.",0
We should disband NATO,"Moisiu was found fitting for that post since he was a researcher, was politically neutral, was known as an effective mediator (a quality much appreciated in Albania, which tends to inner quarrels) and had a decisive pro-Western and NATO orientation.",0
We should disband the United Nations,"The 2005 Synthesis Report of the United Nations' Millennium Ecosystem Assessment program labeled agriculture the ""largest threat to biodiversity and ecosystem function of any single human activity.""[REF]",0
We should abolish zoos,"In 1931, Whipsnade Wild Animal Park opened, becoming the world's first open zoological park [REF].",0
We should ban beauty contests,"Supporters often cite self-confidence and poise as attributes that children learn during the pageant process, and still more defend pageants as being similar to other athletic, music, or educational programs.",1
We should legalize polygamy,"200,000 to 300,000 women attended, calling for a ban on polygamy, and the introduction of civil divorce law [REF].",1
We should ban lotteries,The Lottery began in April 1989 after a November 1988 vote in which over 60% of voters cast ballots in favor of it [REF].,0
We should subsidize journalism,"Peace journalism aims to retain the role of observer in reporting conflict, rather than functioning like war journalism, which intervenes in conflict to increase the influence of violent actors and violent actions.",0
We should fight nationalism,"In line with this, Tagore denounced nationalism, deeming it among humanity's greatest problems.",1
We should abolish the monarchy,"However, three important factors distinguish monarchies such as the United Kingdom from systems where greater power might otherwise rest with Parliament.",0
We should end daylight saving times,"Most use the standard time for their zone (or zones, where a state is divided between two zones), except for using daylight saving time during the summer months. Originally this ran from the last Sunday in April until the last Sunday in October.",0
Physical education should be mandatory,"After suffering two heart attacks in 1961, John Wilson ""died of a heart attack during a physical education class in 1968[REF] .",0
We should fight global warming,The film includes segments intended to refute critics who say that global warming is unproven or that warming will be insignificant.,1
We should further exploit solar energy,Advocates of solar energy argue that widespread use of solar collection can mitigate overheating of urban environments by absorbing sunlight and putting it to work instead of heating the foreign surface objects.,0
We should further exploit wind power,"Verena Frank, project manager at Beluga Shipping GmbH, SkySails GmbH's partner further stated that ""the project's core concept was using wind energy as auxiliary propulsion power and using wind as a free of charge energy"" [REF].",1
Single-sex schools should be banned,"There were two other secondary schools in Liverpool also called St Margaret - St Margaret Mary's RC Secondary Modern School, a mixed school on Pilch Lane and St Margaret Cltherow RC Secondary School, a girls' school on Ullet Road.",0
We should abolish capital punishment,Ban's statements contradicted long-standing United Nations opposition to the death penalty as a human-rights concern [REF].,0
We should abolish capital punishment,"The anonymous Relación del sitio del Cuzco y principio de las guerras civiles del Perú hasta la muerte de Diego de Almagro starts in January 1536 when Hernando Pizarro arrived in Cusco, and ends with the execution of Diego de Almagro in July 1538.",0
We should subsidize higher education,"Southwest Baptist University (SBU) is a private institute of higher education affiliated with the Missouri Baptist Convention, which is part of the Southern Baptist Convention.",0
We should subsidize embryonic stem cell research,"The absence of a position should not be interpreted as support for or opposition to any other statement made by Church members, whether they are for or against embryonic stem cell research.""[REF] .",0
Big governments should be abandoned,"Some of the themes include gun violence, war, crude humor, consumerism, obesity and Big Government and Big Business.",0
We should ban fast food,"Started in 1990 and held annually since, the Great Aussie Pie Contest was created to find the best everyday commercially produced meat pie produced in Australia, to promote the higher quality pie production as well as attempting to increase media attention upon the foodstuff, the iconic meat pie often dwarfed by the omnipresent advertising of fast food chains ",0
Boarding schools should be abolished,"Indeed, by 1930, Teymourtash's eldest daughter Iran who had recently graduated from the American Girls high school in Tehran founded an association of women with the intended goal of establishing a boarding school for destitute women.",0
We should ban cosmetic surgery,Fushih Pan is also certified by the National Board of General Surgery of Taiwan and the Board of Plastic Surgery Specialist of the U.A.E.,0
The vow of celibacy should be abandoned,"In November 2009, the Irish Commission to Inquire into Child Abuse reported its findings in which it concluded that: """,0
We should ban lotteries,"In the case of digit lottery games, the removal of balls is the third time, as the drawn balls are also adjusted (see below).",0
We should introduce recall elections,"The Wisconsin Government Accountability Board voted in favor of all recall elections, but scheduled the Democratic recall elections one week after (August 16, 2011) the Republican recall elections [REF].",1
We should legalize prostitution,"the Canadian Guild for Erotic Labour calls for the legalization of sex work, the elimination of state regulations that are more repressive than those imposed on other workers and businesses, the right to recognition and protection under labour and employment laws, the right to form and join professional associations or unions, and the right to legally cross borders to work",1
We should subsidize biofuels,"Another 2010 study published by the World Bank found that ""Brazil's transport sector has a lower carbon intensity compared to that of most other countries because of its widespread use of ethanol as a fuel for vehicles.""[REF",1
We should ban lotteries,The Lottery statute mandates that 35 percent of all Lottery revenue be transferred to Louisiana's treasury.,0
We should legalize same sex marriage,"A poll conducted in July 2013 found a significant increase in support for same-sex marriage, with 52% of Mexicans in favour of legalising same-sex marriage.",1
We should disband NASA,"Another fairly detailed vehicle system, designed and optimized for crewed Solar System exploration, ""Discovery II"",[REF] based on the D3He reaction but using hydrogen as reaction mass, has been described by a team from NASA's Glenn Research Center.",0
Sex education should be mandatory,"Advocates argue that any other type of sexual education would promote sex outside of marriage, which they hold to be immoral and risky.",1
We should abolish capital punishment,Judge Fogel halted the execution to permit time to review whether the new injection procedures addressed previous objections [REF].,0
We should limit the right of asylum,"Borjas recognizes that one of the main reasons for Hispanic migration to the United States is political reasons, and he argues that political refugees have less incentive to assimilate and acquire human capital than those who migrate for economic reasons.",0
We should ban free newspapers,"Besides the advantages of large circulation and a large group of readers, free newspapers attract many advertisers.",1
We should subsidize journalism,"Many seasoned Canadian journalists spoke of the need to free Johnston, and commented on Johnston's journalism and the deteriorating situation in Gaza, with Brian Stewart commenting that ""we have finally reached the end of the line .. enough is enough.""[REF] .",0
We should end mining,"Although mining has brought increased prosperity to Paso Yobai, it has also brought environmental problems, the most serious being mercury contamination in the streams.",0
We should further exploit green technology,"Uttam Ghoshal is an Indian-American scientist in the field of thermodynamic electrical engineering, notable for cooling green technologies with applications in green refrigeration and solar power generation.",0
We should abolish term limits,"Former mayor Lee P. Brown denounced the term limits, saying they prevented incumbents from gaining enough experience in city government.",0
The free market should be protected,Studies show that private market factors can more efficiently deliver many goods or service than governments due to free market competition [REF].,1
We should cancel the Social Security tax,"Some provisions increased taxes (the expiration of the Bush and FICA payroll tax cuts and the new Affordable Care tax and AMT thresholds) while others reduced spending (sequestration, expiration of unemployment benefits and implementation of the Medicare SGR) [REF].",0
We should disband Amnesty International,"Amnesty International has called on Israel to consider refraining from the use of weapons with depleted uranium munitions, due to health risks.",0
Community service should be mandatory,"The Young Mizo Association (YMA) is a voluntary association in Mizoram whose mandate is to provide community service, which includes ""conservation of Mizo culture and heritage"" [REF].",0
We should ban abortions,"The Church holds that ""the first right of the human person is his life"" and that life is assumed to begin at fertilization",1
We should introduce recall elections,"Pro-Walker protesters in Merrill, Wisconsin, attempting to recall Senator Holperin (D-12th District) claimed to be intimidated by a crowd of Holperin supporters, one of whom reportedly ripped up some of their recall petitions [REF].",0
We should subsidize public transportation,"It has been proposed that extra security screening of passengers and their bags would be the best option of preventing weapons or bombs on public transport. However, this would also have a number of negative side effects, which could outweigh the benefits, among them:[REF] .",0
We should legalize polygamy,"LDS historian Todd Compton, in his book In Sacred Loneliness, described many instances where some wives in polygamous marriages were unhappy with polygamy [REF",1
We should lower the age of consent,"The age of consent in Belgium is 16, as specified by Article 372 of the Criminal Code (Code pénal/Strafwetboek), which reads: .   ""Any indecent assault committed without violence or threat on the person or with the assistance of the person of a child of either sex, aged less than sixteen, shall be punished by imprisonment (of five years to ten years).",0
"profits from the venture go to the charity or group of charities, rather than to a municipality or private casino","BigHeartBingo raises money for major charities like Cancer Research, NSPCC, Save the Children, Age Concern, Great Ormond St Hospital (GOSH), RNIB and Comic Relief amongst many",1
We should ban beauty contests,"The events were described in the media as ""beauty contests,""[REF] and voter turnout in both states was relatively low when compared with record-high turnout in other states [REF].",0
We should abandon television,"While both games benefited from the advent of television, since the late 1950s, the NFL has become a nationally popular sport while college football has maintained strong regional ties [REF].",0
We should introduce universal health care,"Advocates of ""single-payer"" argue that shifting the U.S. to a single-payer health care system would provide universal coverage, give patients free choice of providers and hospitals, and guarantee comprehensive coverage and equal access for all medically necessary procedures, without increasing overall spending.",1
We should subsidize renewable energy,"Incinerators and other waste-to-energy plants generate at least partially biomass-based renewable energy that offsets greenhouse gas pollution from coal-, oil- and gas-fired power plants [REF].",0
We should increase internet censorship,A BBC News article reported that critics feared this new software could be used by the government to enhance the existing internet censorship system.,1
We should abandon the insanity plea,"The case is notable for Watson's use of a plea of insanity as his defence, bringing ""the insanity defense into perhaps its greatest prominence since M'Naghten.""[REF] .",0
We should abolish the needle exchange programs,"The harm reduction policy of Switzerland - which includes large-scale syringe exchange programs (also in prisons)[REF] and the medical prescription of heroin for chronic heroin addicts - was introduced against the strong opposition of the UN drug control authorities,[REF] but endorsed by a majority of the Swiss population in several popular referenda [REF].",1
Suicide should be a criminal offence,"The Stoics, like Plato and Aristotle, believed that suicide was wrong except under some circumstances.",0
Big governments should be abandoned,"Griffon considers Ellington and Alario ""big government"" advocates, not conservatives [REF].",0
We should subsidize biofuels,"A 2006 U.S. Department of Agriculture (USDA) report found that at market prices for ethanol, converting sugarcane, sugar beets and molasses to ethanol would be profitable. [REF",1
We should disband NATO,Ukraine's participation in a number of international events organized by NATO  ,0
We should fight nationalism,"In this document, reprinted by the central publishing house of the Nationalist Clubs based in Philadelphia, Bellamy argued that ""Nationalism is economic democracy.",0
Surrogacy should be banned,"Jurisdictions that permit surrogacy sometimes offer a way for the intended mother, especially if she is also the genetic mother, to be recognized as the legal mother without going through the process of abandonment and adoption.",1
Suicide should be a criminal offence,"In the United States, males are four times more likely to die by suicide than females, although more women than men report suicide attempts ",0
Single-sex schools should be banned,"However country-wide, co-education schools are more common than single-sex schools.",0
We should abandon democracy,"Another Muslim scholar and thinker, Muhammad Asad, viewed democracy as perfectly compatible with Islam.",1
Organ donation should be mandatory,The lawyer tries to make the argument that the organ recipient is the heir of the donor.,0
We should legalize the growing of coca leaf,"Since the 1980s, the countries in which coca is grown have come under political and economic pressure from the United States to restrict the cultivation of the crop in order to reduce the supply of cocaine on the international market [REF].",1
Hunting should be banned,Higher Laws: Thoreau discusses whether hunting wild animals and eating meat is necessary.,0
