premise,hypothesis,label
"For a sense of the historic neighborhood's old splendor, start on Piazza Ges?? Nuovo, with its characteristically extravagant Baroque Immacolata column (guglia) in the center.",The architecture in Piazza Ges is baroque.,1
"Here he is banging on with his upstream/downstream, high note/low note approach ",He never performs with a high note/low note or upstream/downstream approach.,0
You have perhaps read these? Stein asked.,Stein asked his girlfriend if she had read the books.,1
yep because it's when it's self propelled it's heavy yeah,it's very light when it's self propelled,0
"More importantly, we thank the LSC Board of Directors for giving us the opportunity to improve a legal services delivery system that is so valuable to our clients, so essential to a democratic way of life, and so very important to all of us.","While the LSC board of Directors did thank us, we didn't create the delivery system because we thought it was useless.",0
"In collections that include important works by Giovanni Bellini, Mantegna, Titian, Correggio, and Tintoretto, pride of place and a room to itself goes to Michelangelo's last work, the unfinished Rondanini Piet?  (1564).",The artwork valued at over $100 million in total.,1
really yeah see i didn't i don't i thought my uh i thought i live in Euless and i thought it was pretty normal but anyway but i guess you're right though it has been real hot because it um  i've had to use the air conditioner in March and that is pretty usual,I thought that Euless would not be as hot as it is.,1
3 discusses the extent to which the United States has supplemented its saving and investment by borrowing from abroad.,It is surprising how much the United States borrows from foreign nations.,1
"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is one of the biggest, most bustling cities in the region.",0
"Have they taken him to prison yet?""","There is a question as to whether or not they've taken him to prison yet, and no one seems to have the answer. ",1
somehow we still i guess believed that the countries that we were helping were were eventually going to pay us back and that hasn't happened,We didn't expect any of the countries we helped to pay us back. ,0
i don't remember what it is now four hundred dollars for the month let's say and uh i mean some months i may spend three hundred on groceries and a hundred on everything else and,"For the last few months that I remember, I spend about seven hundred on groceries.",0
"The story of Martha, a woman from Sierra Leone, was more compelling.",Martha was from Nigeria.,0
no i have seen those i have driven around in the neighborhoods and seen those little flood gauges that will be there little yellow signs,Those little yellow flood gauges help me feel safe when I drive around these parts.,1
uh but uh not too many of the situatio n comedies do i care for,I like some situatio n comedies.,1
"By the way, it's not altogether clear that this price cap regime would achieve one of its other principle objectives, that is, to put downward pressure on future cost increases.",Future cost increases will definitely experience downward pressure as a result of this price cap regime.,0
"The rain had stopped, but the green glow painted everything around them.",The red glow painted everything around them after the rain had stopped.,0
i think it's going to have to get worse before it gets better you know the same old cliche,I know it is getting better.,0
The rule provides the main regulatory framework for the National Low Emission Vehicle program and creates the means whereby automobile and light-duty truck manufacturers can volunteer to comply with tailpipe standards that are more strict than EPA can mandate at this time.,The rule does more than provide the main regulatory framework for the National Low Emission Vehicle program and create the means whereby automobile and light-duty truck manufacturers can volunteer to comply with tailpipe standards. ,1
"Paula Jones attended the White House Correspondents Association Dinner , as did President Clinton.",The important politicians attended the dinner ,1
"So much so that it would be sponsored by big car companies and breweries, major corporations, just like G.W.",IBM has decided not to sponsor it.,1
Other Major Museums,Many huge museums can be found in the country.,1
Finally Miss Howard consented to return to her chair. ,Miss Howard would not sit down again for the entire night.,0
even have a checking account.,They have checking accounts in their names.,1
"For newlyweds, the Goddess is also identified with the Indian Boddhisattva of Fertility.",The Goddess is generally portrayed as a six-armed women wearing a shawl.,1
"The oldest remaining part of the castle is the Record Tower (1258), visible as you leave the upper yard.",The Record Tower is visible as you leave the upper yard.,1
"The man suddenly shot up like a fountain, growing huge; he towered over them, until he seemed miles high and the giant structures Dave could see were only the turned-up toes of the man's shoes.",He shrunk and became tiny. ,0
"Not green, sir.",It's a shade of green.,0
Maybe it's time you taught me what an old deserter could possibly teach.,Can the old deserter teach me about battle?,1
probably cost yeah  yeah that was a real,That was probably too expensive for me.,1
Should we be boycotting multimedia sites that make even my fractional T3 connection choke?,Do you think we should boycott shopping sites?,0
because there are a lot of places that don't give you time i mean they give you the time but not the pay,Jury duty annoys people because they often have to take time off from work.,1
A woman is cleaning an outdoor pool.,There is a pool outside.,1
Control activities may be applied in a computerized information system environment or through manual processes.,Manual processes cannot be used to apply control activities.,0
"Their white sails make a beautiful sight, especially at sunset.",The white sails of the boats can only be seen at sunset.,1
"Aside from the indigenous Amerindian (aka Native American) population, all Latin Americans or their ancestors immigrated within the past five centuries.","Aside from the indigenous Amerindian (aka Native American) population, some Latin Americans or their ancestors immigrated within the past five centuries.",1
Sufficient money and party regulars and money have been assembled to make the primaries and indeed the general election even more than usually irrelevant.,The election funds were almost 200 million dollars.,1
"Pa, he set a right lot by them spurs.","After the trouble he went to get them, he valued those spurs.",1
"Have you got him?""",Did you help him to escape?,0
"The electricity is not going to diminish, because most men like to ...",The electricity is very reliable and has never gone out in the past.,1
Misdirection.,The men tried to make the opponent look the other way.,1
The film lost against four other Allied propaganda films.,"The film was nominated for the inaugural Academy Award for Documentary Feature in 1943, but lost against four other Allied propaganda films.",1
"Yes. 147 ""Ah, that's better,"" said Heavywether, with ferocious geniality. ","""That is better than the other one,"" Heavywether said. ",1
They are well armed and wear bulletproof vests.,They don't have vests and they are often unarmed.,0
"Nowadays banks are by no means guaranteed to make  To turn a profit they must work hard, innovate--and take big risks.",I don't think banks have to take risks to make a profit.,0
i uh yeah i haven't made any kind of effort to keep up on recent music especially in rock and roll there's not just too much uh new stuff that's well it's not as creative,I think the new rock and roll is more creative than the kind I grew up on.,0
A young women dips her feet into a natural spring in an outdoor setting.,A woman is outside touching water.,1
"Most of these POWs were transferred from Camp Roswell, which was main POW camp for New Mexico.","Most of these POWs were transferred from Camp Roswell, which was a base or main POW camp for New Mexico.",1
A young boy wearing a military sunhat catches a Frisbee outdoors.,the boy is hiding under his bed,0
Providing delegated authorities can enable employees to control their own work processes and schedules.,No employees can control their own work processes and schedules.,0
"Red said, ""Holy Smokes.","Red said, ""Jesus love you.'",0
"Don't mean the police, but the people that are right in it. ",The people were right. ,1
"In response, several said they offered higher salaries and special benefits to attract and keep expert staff.",Most experts want to be paid in bars of gold.,1
"My colleagues and I, reduced the requested amount by $700 million, leaving a $1 billion contingency.",We increase the amount by $700 million.,0
"Well before the fall of communism, Congress passed comprehensive sanctions against the apartheid regime in South Africa.",Congress supported the apartheid regime in South Africa.,0
but yeah it's it's it's kind of forced on you because you suffer a penalty,You have a choice to decline the penalty.,0
"Usually, in such studies, generalization is wanted and care is required to negotiate the question with the customer (best situations?",No one wants generalization in their organization.,0
"But Japan was reluctant to sue for peace because the Allies were demanding unconditional surrender with no provision for maintaining the highly symbolic role of the emperor, still considered the embodiment of Japan's spirit and divine origins.",The Allies didn't care about peace.,1
source for an acquisition.,Source to be taken by the government.,1
From here the road turns out of the Borrowdale valley to begin a steep ascent westward through Honister Pass.,Atempting to climb the Honister Pass without equipment is considered by many a fool's errand. ,1
This type of testing is often referred to as penetration testing.,This testing is called dormant testing.,0
"It's kitschy and cartoonish, with pink marble, neon lights, and faux-Louis XIV furniture.",It has a very sleek design.,0
we had one in Virginia that was sentenced to death and the execution was to have taken place a few weeks ago i don't know if there was anything in your paper about it,There is no death penalty in Virginia.,0
"What do you mean by deceiving me as you have done?"" We were sitting in the library. ","You have broken my trust, and my heart. ",1
they just don't seem like um well i guess we've have them about a week now and they're just not kind of,"They don't like them right now, but may after a few more weeks. ",1
"On the lower slopes of the Garden of Gethsemane, leading to the Jericho Road, is the Basilica of the Agony, also called the Church of All Nations.",Garden of Gethsemane is where Jesus prayed.along with the apostles.,1
"Linked to La Maddalena by a 7 km- (4 mile-) long causeway, the isle of Caprera was the last home of Giuseppe Garibaldi, military leader of the Risorgimento movement for Italian unity .","There is a long causeway that you can drive down, but it takes about 20 minutes.",1
But they showed what true love is when Bo took over John's medical care and for seven weeks forced him to drink gallons of water to flush out stubborn kidney stones.,Jon was very healthy.,0
what do you do in your garden and i'll go nothing what is should i do but anyway i guess that's about it though it sounds like we've covered all the bases so i guess we'll let you go and um do you have anything else you wanted to say,"We haven't even come close to covering everything, stay on the line.",0
WizKids was purchased by.,WizKids was purchased by and is a subsidiary of National Entertainment Collectibles Association.,1
"The marathon was sponsored by AT&T in 2007 and 2008, but ran with no title sponsor in 2009.","The marathon was sponsored by AT&T in 2008 and 2008, but ran with no title sponsor in 2009.",0
I noticed that John's manner was somewhat unusual. ,John was upset. ,1
"One of the most charming towns in India, where Christians, Jews, Muslims, and Hindus live in much greater harmony than they seem to manage elsewhere, Cochin makes a delightful gateway to the Malabar coast and the relaxed life of Kerala.","Christians, Jews, Muslims, and Hindus have lived together peacefully in Cochin for centuries.",1
"The last king of the Piast dynasty, Kazimierz the Great, succeeded in reunifying Poland.",Kazimierz the Great was not able to unify Poland.,0
Natalia/Lincoln began fiddling with his/her top-hat.,Lincoln didn't touch the hat.,0
"Dare is an upcoming American supernatural horror film directed by Jeff Wadlow and written by Wadlow, Christopher Roach, Michael Reisz and Jillian Jacobs.","Truth or Dare is an upcoming American supernatural horror film directed by Jeff Wadlow and written by Wadlow, Christopher Roach, Michael Reisz and Jillian Jacobs.",1
"He would then bring these north, give them as payment for being left alone."" ",He's very cunning and willing to bribe others.,1
"Miss Howard had always seemed to me so essentially honest ”almost uncomfortably so. Poirot gave me a curious look, which I could not quite fathom. ",Miss Howard seems overly dishonest and Poirot gave me an approving look.,0
"The children aren't hurt and, after all, they haven't done anything really terrible.","Despite the children's injuries, it's all their fault because of what they did.",0
"He was the father of Chris Evert, who was one of the world's top women tennis players in the 1970s and 1980s.","He was the father of Chris Evert, who was one of the world's top women tennis players in the 19701 and 1980s.",0
well  they did have a fairly decent year finally this year,This year was the first terrible year for them.,0
Increased fuel economy achieved by a reduction of engine deposits is estimated to be over $295 million for the same time period.,There has been a decrease in the fuel economy.,0
I would expect the legal community to be in the forefront of trying to bring this issue to light.,The legal community has not acted sufficiently to bring this issue to light. ,1
oh say that she needed that didn't she  you know it must be hard when you have a lot of children i you know to have i was an only child my mother was an only child so i  you know i wasn't raised with  brothers or sisters and i always got all the attention so i wouldn't know  i think i would be extremely jealous or would have been  had there  been another child in the family,When I was a child I had a lot of siblings it was stressful on my parents.,0
This breakdown of PA-Israeli cooperation is the basis for the Israeli complaint that Arafat is culpable for last week's Jerusalem bombing.,This breakdown of PA-Israeli cooperation is the basis for Israeli complaints that Arafat is culpable for last weeks Jerusalem bombing and the ones before it.,1
"A man and a woman wearing costume glasses (with attached eyebrows, nose, and moustache) and holding cigars.",A few people are displaying something on their face.,1
You cannot mix up sentiment and reason.,Reason and sentiment cannot be confused for one another.,1
"It is merely a note asking me to call upon her this morning, as she wanted my advice on a matter of great importance.""",The speaker was contacted by telephone to give advice.,0
"The entrance is also home to several sculptures, including one of Carlyle, the gallery's founding father.",The entrance is the sole home of a painting by Van Gough.,0
"He accumulated untold wealth through trade and piracy, funding an extensive construction program and a court which attracted such luminaries as Aesop, the storyteller, and Pythagoras, the mathematician (a local Samian, who later fled the island to escape Polycrates's cruelty).",His wealth led to many wondrous experiences and ill-conceived ventures.,1
you know and uh certainly nothing that you have to do anything about um,You know you don't have to do anything since you aren't involved.,1
So that's what it's all about.,So that's what the movie is about.,1
"The lively little fishing settlement far below on the water's edge is an easy walk down, but very tiring coming back up on a hot day.",The settlement has rickshaws to take you back up if you prefer not to walk.  ,1
i was well i guess i have to admit that i am,"I don't admit anything at all, ever.",0
didn't have the you know the money they said it's a good way of uh in coming in but those are public service i mean you i mean you would be getting paid very little you know or anything at all,"Public service does not deserve to be paid, it is only a gesture.",1
"In this moment of American triumphalism, it's hard to resist the temptation to rewrite recent history as the narrative of America's self-reliant, inevitable rise, and to see the future as the story of America's continued ascent into the higher reaches of the New Economy.",America is in a time of weakness and sadness.,0
"Its artful sculpture and architecture can be seen to this day in the temples of Cambodia, Thailand, and Java.","Its sculpture and architecture can be seen in Nairobi, Zimbabwe and Ethiopia. ",0
"I'm inclined to believe you, she said slowly.","I think you're telling fibs, she snapped.",0
One of the old god-kings spoke of condemning them.,The god-king did not speak at all.,0
"In Eastern Europe, exhumed bodies have been used as symbols by political parties, as anthropologist Katherine Verdery explains in her forthcoming book, The Political Lives of Dead Bodies in the Postsocialist Transformation . For instance, liberal reform parties have disinterred Communist leaders from their mausoleums while reburying pre-Communist nationalist heroes in elaborate sarcophagi.",Verdery researched political traditions in Eastern Europe in the 1890's.,1
A woman prepares ingredients for a bowl of soup.,A woman is cooking.,1
"These are terrible ideas ( to find out why), but without them the notion is simply empty.",The notion needs better ideas.,1
Don't miss Titian's own monumental tomb (in the right aisle); he died in 1576 during a local plague.,Titian's tomb is the biggest of any Renaissance artist.,1
" that has become a symbol of Nikko, the logo on virtually every souvenir.","It isn't the symbol of Nikko, is it?",0
isn't that funny no,It's kinda funny.,1
that's true that's true well,That is not correct at all.,0
so that's that's a little rough you know we're not we're not quite up to that sort of thing,We're up to it.,0
"Whatever had been done to them--or perhaps the absence of a true soul, whatever that was--left them rigidly bound to their past ideas and totally incapable of doing more than following orders by routine now.",Even without souls they could do whatever they wanted. ,0
The size of the ancient pyramid must have been enough to sway them.,The pyramid was too small to have influenced anyone.,0
It has been said that he played every instrument at one time in the Monroe group except mandolin.,It has been said that he played every instrument at one time or another in the Monroe group except mandolin.,1
"It was the answer she had expected, but it was another nail in the coffin of her hopes.",She didn't know what the answer would be and she was happy to hear what she heard. ,0
He also had four consecutive seasons of having a 0.700 or better winning percentage and remains the Flyers all-time leader in coaching victories.,He also had four consecutive seasons of having a 0.701 or better winning percentage and remains the Flyers all-time leader in coaching victories.,1
"For example, whether or not there are active opposition parties may be a more valid measure of whether a country is a democracy than how many people vote in an election.",The opposition parties pose no threat to them.,0
"Interestingly, this was a period when Chatterbox felt more enthusiastic about Clinton's presidency than he has ever felt since.",Chatterbox was more unhappy about Clinton being president back then.,0
Cummins used the knowledge captured from these and subsequent prototypes to refine and eventually validate the manufacturing processes for the engine.,Building an engine is complex and takes a long time. ,1
Now they make videotapes.,These days they make DVDs.,0
"The accuracy of the CAGE, the Brief Michigan Alcoholism Screening Test, and the Alcohol Use Disorders Identification Test in screening trauma center patients for alcoholism.",The accuracy of the CAGE Test isn't screening trauma center patients for alcoholism.,0
This possibility was confirmed by a further circumstance. ,This was never verified.,0
Significant weaknesses in internal controls may be discussed in the report as an element of a finding.,No weaknesses are listed in the report ,0
A man in a blue shirt leans on a wall beside a road with a blue van and red car with water in the background.,The man is wearing a blue shirt.,1
"The massive seated figure, 11.4 m (37 ft) high, sits in the classical pose of the Amida Buddha ( Compassionate One ), his hands resting in his lap, the thumbs touching the palms and the eyes half-closed in an expression of profound serenity.",The statue of the Amida Buddha is over 500 years old.,1
"However, the palace and gardens are so enormous that you may prefer to see them at your own pace, leaving out what your head and feet can't take.",The palace is a minute place to see.,0
Boskin's report admits that much of the commission's 1.1 percent overestimation number is a guess.,The report claims that the overestimation is spot on.,0
yes i i felt that it certainly was i mean i was smarter than most of the people that i was working for and uh you know every time something new came up i was explaining it to them and uh i had,I explained everything to them because I'm so smart.,1
The case study was useful for readers interested in what a particular program was like or what happened to a typical beneficiary.,The case study helped readers who wanted to know what a program was like for new students.,1
The Washington Post awards the GOP a clean win on an issue of prime importance to the American public but foresees an election-time brawl.,The win was very important to the American people.,1
Just how stupid could one be?,A person can be very stupid.,1
Probably a judicious mixture of both. ,There is only one solitary cause of this.,0
"The North Carolina Farm Bureau stated that since 1983, it had never complained that an LSC recipient was improperly representing aliens who were no longer in the United States.","in 1990, four North Carolinian, LSC recipients represented aliens residing in Equador.",0
"The final medal tally was led by Indonesia, followed by host Malaysia.","The final medal tally was led by Indonesia, followed by host Malaysia and Thailand.",1
yeah so that's and that's what ours is our house the house we had before was over we live on the east side of Richardson now and the other one was over on the west side and it was uh a pier and beam house,"We live in Utah right now, and we love it.",0
"'J, it's late, I'm tired, and you're talking nonsense.",J rambled incoherently despite my issues with working this late.,1
But he was not going to keep on protesting about the right or wrong of what happened back in town.,He was prepared to keep on protesting about what had happened in town.,0
"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.","St. Francis Xavier's relics were never recovered, unfortunately.",0
um-hum oh they do have some absolutely gorgeous things so uh but they uh the one we just watched that we had videotaped from the weekend was the Gardens of the World did you see that one this week,Gardens of the World was disgusting.,0
The auditor should also review previous studies or audits of the acquisition project and of the agency's information resources management functions.,The auditor doesn't need to check any previous studies.,0
"The main hall, called the Sanbutsudo, with its almost erotic color scheme of black and green and vermilion, dates to 1648 and is the largest single building at Toshogu.",The Sanbutsudo building was commissioned by the emperor himself.,1
"The boilermaker's union (The International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers) attempts to provide the necessary manpower to the contractors.",The boilermaker's union failed at giving the contractors the necessary manpower. ,1
All I know is they kept us working five solid weeks for nothing.,In the end all our efforts were for nothing.,1
White was beating himself.,White was pleased with himself.,0
"To alleviate the problem, the government has become the city's major landlord with the construction of massive apartment blocks that, though they have every modern facility, average only 9 square m (100 square ft) in size.","The government can't solve the problem, even if they became the city's landlord.",0
"It still stands as a ghost town groups of dilapidated square houses made from sandstone and is visited nowadays only by the occasional goatherd, who will play you a tune on his flute in traditional style.",The town is visited by thousands every year for its goats.,0
The percentage of questionable cases for individual programs ranged from 7 percent to 42 percent.,The range of questionable cases was between three and 4%.,0
"Ronald Joseph Cicenia December 11, 1935 – January 16, 2007, known as Ron Carey, was an American television actor.","Ronald Joseph Cicenia (December 11, 1935 – January 16, 2007), known as Ron Carey, was an American film and television actor.",1
"During the fifth century a number of Celtic tribes came together to form the Kingdom of Rheged, which is said to have stretched north over what is now the Scottish border and south as far as the River Mersey.",It was also during the fifth century that Germans rules the northern isles.,1
(2) A document or set of such documents formally designated and fixed at a specific time during the life cycle of a configuration item.,"One or more documents formally designated and fixed at a specific time during the life cycle of a configuration item, according to the dictionary.",1
"Don't you remember all those wise old words you wrote? Tranquillity, peace and enlightenment? Be worthy of the man history remembers.'",You never wrote wise words. ,0
It was after that they'd begun conjuring back to Dave's world for all the other experts.,Nothing happened and they didn't conjure back to Dave's world.,0
"The match finished in a 1–1 draw, but Bayern clinched their fourth title by winning 5–4 on penalties.","The match finished in a 1–2 draw, but Bayern clinched their fourth title by winning 5–4 on penalties.",0
"Through the Pharmaceutical Benefits Scheme during the same year, HIC processed over 149 million claims totaling over $1.",The Pharmaceutical Benefits Scheme aims to provide affordable prescriptions.,1
"You can explore underwater trails here, either with a snorkel or with full diving equipment.",You can walk through the trails in the jungle.,0
"Four months after the creation of the new Federation, three European rubber planters were murdered in Perak.","Because of tension in the new Federation, three European rubber planters were found murdered.",1
Bien! he said at last. ,He wasted no time speaking. ,0
"They report the makeup artist took another man on a multimillion-dollar, Oprah-hosted cruise.",The man was denied access to the oprah-hosted cruise.,0
"Today, the Beau?­jolais country thrives and wine-lovers heading south detour to such familiar names as Fleurie, Juli??nas, Ch??nas, Morgon, and Brouilly.",Wine aficionados have no interest in visiting the country of Beaujolais.,0
"Thank you for all of this,"" said Ca'daan.",Ca'daan was disgusted by all of them and told them to go away.,0
The second step-initial testing-can be done by applying logical tests to electronic data files or hard copy reports.,Testers generally prefer electronic data over the hard copy reports.,1
that's a tough one too,That is also tough but we can handle it.,1
"Generally, data collection and analysis are concurrent and interactive-that is, yoked in case study methods.",Data collection and analysis aren't concurrent,0
"As an independent regulatory agency, the SEC is not subject to title II of the Unfunded Mandates Reform Act of 1995.",The SEC conducts investigations into financial crimes.,1
"Don't despair; make up your own picnic hamper from the local market before you get aboard ' cold meats, salad, Camembert, grapes, baguette, and wine can add a terrific sparkle to the countryside flashing past the window.",You are not allowed to make your own picnic hamper.,0
and fixing the emergency brake,I have never fixed a break.,0
 The GOP's remarks were as close to a betrayal of the interests of the United States as I've ever witnessed in the United States Congress (Sen.,"The GOP is The Grand Old Party, and their remarks are almost betraying to the US interests.",1
"On the right, nationalist forces were motivated by a desire to hit back at Germany, seeing all contact with foreigners or any form of  cosmopolitanism  as a threat to national honor and integrity.",Nationalist forces were only concerned with gaining power rather than changing things for the better.,1
At the west end is a detailed model of the whole temple complex.,The model temple complex is at the east end.,0
"The other?I met a swordsman yesterday who agreed to help us, another northerner.",A swordsman refused to help anyone.,0
"Today, Thompson is part Beavis, part whore.",The whore side of Thompson likes to be called 'butthead'. ,1
The federal government's effect on net national saving has varied widely over the past 40 years.,The government's effect has proved more negative than positive during the past four decades.,1
well the one now is is uh it's got a heat pump,The house I'm living in now has a heat pump.,1
well it still is,It will remain so.,1
"The truth is, legal education is partially responsible for the disconnect between what ordinary Americans need and what educated lawyers can supply.",Education is not responsible.,0
"Built in 1959, the museum spans one rectangular ""rai"" of land (approximately half an acre or 2023.43 meters).","Built in 1959, the museum spans one rectangular ""rai"" of land (approximately half an acre or 2023.44 meters).",1
Then it got started.,Then it ended.,0
and the mainframe has a lot of software out there where i use to interface my computer with,The mainframe has software that others use to interface their computers with.,1
"Anyway, Tuppence decided, with her usual shake of the shoulders, it was worth trying, and try it she would.",Tuppence wanted to try but was unsure whether it was even worth trying.,1
Economic Benefits of Improvements in  Acid Rain Provisions of the 1990 Clean Air Act Amendments.,Economic Failures of the Decline in Acid Rain Provisions of the 1930 Clean Air Act Amendments.,0
"If you're driving back to Madrid from Toledo and want to make a brief stop almost exactly mid-way, the village of Illescas (33 km/20 miles from Toledo) holds a surprise, especially for art aficionados.",The village of illescas is located in the middle of Madrid.,0
"If however they are employed similar to those who are on active duty or are actually on active duty, then the controls in the subsection Active Military Personnel are operative and should be used.","If they are employed similarly to active duty, the controls in the Active Military Personnel don't apply.",0
Cyclist participating in an organized event cross a large suspension bridge and two women riders have stopped to pose for a picture.,some cyclists cross a bridge,1
"The company produced - produced several of their own shows in addition to bringing in shows from Broadway to California, often with their original casts.","The company produced or co-produced several of their own shows in addition to bringing in shows from Broadway to California, often with their original casts.",1
He unlocked the door.,He walked into the room after unlocking the door.,1
"Staged in February (and occasionally March), Carnival is celebrated through the streets of Funchal with Brazilian-style samba rhythms but don't expect the hedonism or sensuality of the type of celebrations in Rio or Tenerife, Spain.",The only type of rhythms you can hear during Carnival are Brazilian style.,1
gets worse,It all goes downhill from there.,1
Then the German's voice came up the stairs.,Soon the French voice softly whispered next to them.,0
well do you exercise regularly Judy,"Judy, are you done exercising for the day?",0
"The tiny girl dressed in a butterfly ballet costume, waves her wand near a nutcracker statue.",A small girl dances ballet.,1
and it you know so if strung up their tails would still hang on the bottom of the  uh just,Their tails stick up when they're strung.,0
"Joe Lieberman, D-Conn., told reporters, The president is resolved.","The president is not resolved, according to Joe Lieberman.",0
"The sophisticated  His ability to hide the rest in stock options (the judge gave Mrs. Wendt only partial credit for the doubling of GE's stock price, observed the Wall Street Journal ) bodes well for corporate husbands.",His ability to hide the rest in stock options means bad news for corporate husbands. ,0
yes it is kind it is family and it's fun it's a fun thing and kids enjoy that and,"It involves the whole family playing games together, and the kids like that.",1
"But L.A.'s not just about excessive behavior, although you'll find that in abundance.",There is no excessive behavior in L.A.,0
He'd had a course of semantics in college and could see no relationship.,He had learned in first grade enough to see the relationship as it was. ,0
Today it houses a small museum?­.,"In the current day, the building holds within it a small museum.",1
Testimony identified particular issues regarding agricultural workers who are permanent resident aliens and thus eligible for general representation.,There were no issues surrounding permanent resident aliens.,0
"Austin Young (born April 12, 1966) is an American photographer, film maker and new media artist currently based in Los Angeles.","Austin Young (born April 12, 1966) is an American photographer, film maker and old media artist currently based in Los Angeles.",0
The Americans' one-point victory over the European team was the biggest comeback in the tournament's history.,The Europeans beat the American team easily.,0
so slow i guess they're stoned on the stuff or something,I think that I would be stoned on the stuff as well.  ,1
"People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera.",The people are crowded around a street performer.,0
yeah and i'll do this uh sometimes i'll put my after I pour that into my back into my saucepan i'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg so,I like to add eggs in the same dish because they are healthy.,1
"According to biblical accounts, Jesus spent his life ministering in the Galilee Valley.",Jesus spent his life in the Silicon Valley ministering to people.,0
Jon turned with the others and left.,Jon stayed right there.,0
"Jon, Adrin, Vrenna, and San'doro moved south to the line of fallen boulders.",They traveled north to the cave.,0
A young girls with red-hair who is wearing jeans and a black vest jumps up in the air over a sandy hill.,A person jumping outside.,1
Hsieh Shu - ying lost in the first round to Li Ting and Zhang Kailin.,Hsieh Shu-ying paired up with Zhu Aiwen but lost in the first round to Li Ting and Zhang Kailin.,1
It is interesting to note that United Parcel Service recently began delivery less frequently than daily to certain residential areas.,The United Parcel Service no longer delivers daily everywhere because it is trying to save on costs.,1
"Title 31 defines an aagency- subject to GAOas authority very expansively, to mean a adepartment, agency, or instrumentality- of the United States government, but not the legislative branch or the Supreme Court.",Title 31 includes the Supreme Court in its definition of an agency.,0
"The small church immediately next to it is the Church of eghios Minas, which has a splendid ornate iconostasis if the church is closed ask in the cathedral as the custodian here has the key.",The Church of eghios Minas is the oldest in the region.,1
"But it prompted the dissolution of the Jamaica Assembly, which was dominated by plantation owners.",A new Assembly free of plantation owner influence was created.,1
"And the difference is, they'd appreciate it.",They don't appreciate anything.,0
i think what she did to him was a travesty,She ought to be ashamed of her actions.,1
Stoner stoner metal is a rock music fusion genre that combines elements of heavy metal and/or doom metal with psychedelic rock and acid rock.,Stoner rock or stoner metal is a rock music fusion genre that combines elements of heavy metal and/or doom metal with psychedelic rock and acid rock.,1
"Disneytown is a shopping, dining, complex at the Shanghai Disney Resort in Pudong, Shanghai, China.","Disneytown is a shopping, dining, and entertainment complex at the Shanghai Disney Resort in Pudong, Shanghai, China.",1
"Funny though"" he glanced at Drew ""I don't remember his mentioning a brother.",The fact he was her brother was a well kept secret.,1
uh because yes i'm in Dallas,"No, I've never been to Dallas. ",0
"A survey reported that the industry will force Medicare recipients to chip in for treatment and may ditch 250,000 recipients outright.",A survey said the industry would never make Medicare recipients pay for their treatments.,0
"Which of the two is my bird?"" Tommy had thought out this question.",Tommy let the two birds go.,0
"Crowned by a chhattra (umbrella) made of stone, the stupa was erected on a terrace with a fence to enclose the path.",The stupa is also made out of stone.,1
OF THIS CONDITION AND TO SEND PEOPLE THE MESSAGE TO LIVE LIFE TO THE FULLEST AND,Be careful with what you do.,0
"Busts of ancient philosophers give the statue gallery its name, but the big attraction is what first seems to be a far-fetched fountain in the center of the room.",The strange fountain in the center of the gallery is made of marble.,1
"At the information counter, collect a copy of the free handbook with color-coded floor plans.",The information provides handbooks with floor plans.,1
"For a good view, approach it from the southwest, on route S71 from Lake Bolsena, or look acrosefrom the medieval abbey La Badia (now a hotel), immediately south of town.",Lake Bolsena is a large salt water lake and contains a good amount of sharks.,1
"Along with fortified wine, embroidery and lacemaking are Madeira's superlative exports, and in Funchal you have ample opportunity to visit factories or workshops where the final touches are put to these painstakingly produced items.",Maderia only imports things.,0
"I do not consider this a deterioration (this article has an average of 17 words per sentence), but it does reflect the change in the size and character of the audience and in the means of communication.",The author is very sensitive to the changes in readership.,0
"All this would be simple enough but for the fact that the gods have appeared on earth in different incarnations, or avatars, with different names, forms, and natures.","Gods are complicated creatures to classify and understand, and they come in many forms.",1
"The third row of Exhibit 17 shows the Krewski, et al. ",Exhibit 17 has 2 rows.,0
"The Indian National Congress, the country's f irst political party, held its inaugural meeting in Bombay in 1885.",There was no Indian National Congress.,0
"Think of William Faulkner, whose characters often appear and reappear in his various novels and stories.",Faulkner makes people disappear in all of his novels.,1
An added lure was Francis Light's decision to import large quantities of opium from India.,An incentive was Francis Light's decision to import opium from India and sell it in China.,1
"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.",Interest rates should increase to increase saving.,0
"Cia Berg born 2 December 1963, now known as Cia Soro, is a Swedish television singer.","Cia Berg (born 2 December 1963), now known as Cia Soro, is a Swedish television presenter and singer.",1
"Or, as Tom Lehrer put  If you can't communicate, the least you can do is shut up.","Tom Lehrer says, ""Speak up even if you can't communicate!""",0
